id,name,register_date,followed_by,followers_count,link,account_description_based_on_last_20_tweets,mentioned_entities
16168217,Yat Siu,Sun Sep 07 11:17:18 +0000 2008,"viewfromhk, alanlau999, tarunchitra, ShanAggarwal, HoolieG, p2fp2e, odagius, alpackap, 0xRodney, herbiefu, cdixon, ariannasimpson, carrawu, tocelot, alive_eth, meigga, lalleclausen, arul_1111i, SpartanBlack_1, CasperJohansen, melmelmelting, unnamedfizz, pythianism, RoyLearner, b_potts23, AliceL991, akshat_hk, elaineyang73, santiagoroel, sandeepnailwal, 0xkenzi, SPLehman, veradittakit, hosseeb, HadickM, hildobby_, Yannimoto, YoannTurpin1, libertas_2035, samiam2194, CharlieSandor, AugieIlag, 0xSamHarrison, JustinBarlow, _Dave__White_, viktorfischer, HassanBassiri, asharoraa, arrington, kelicallaghan, MapleLeafCap, 0xAikoDai, KD2Moon, AlessiaBaumgar, _jaechung, MustafaYilham, Derekmw23, pbartstephens, _alekslarsen, minta0103, LukeWasm, suji_yan, novogratz, kevin_kelly_ii, YanLiberman, pierskicks, alexgolding_, brxckinridge, AdrianUberto, anjan_vinod, notscottmoore, chtmorris, kazhiloti, allenday, ManoppoMarco, Btman_Jeff, jackbplatts, Ivantok4, DangerWillRobin, SmokeyTheBera, collectionist, abhishek095, shreyansh_27, mattshap1, michaelh_0g, sillytuna, RyanCrucible, MariaShen, SherpaHill, merschmax_, camillionaire_m, Rewkang, ballsyalchemist, Chloeeewrx_, klee_049, btcdefidadi, mountainwaterpi, willwangtf, gpl_94, stefancoh, mikojava, hkunimitsu, EvansHuangfu, emmacui, theshikhai",105,https://x.com/i/user/16168217,"The user's main interests appear to revolve around blockchain technology, cryptocurrency, decentralized finance (DeFi), NFTs, education, gaming, and social impact initiatives. They are actively engaged in projects related to student loans, tokenization, yield enhancement strategies, Bitcoin treasury management, educational initiatives, and creator royalties.","['@ysiu', 'Ethernals', 'Pencil Finance', '@animocabrands', '@pencilfinance_', '$DDC', 'Bitcoin', '@ddcbtc_', '@ddcnorma', 'Web3', 'OCID', '$C', '@CheckmateFDN', 'Anichess Ethernals', '@opencampus_xyz', '@educhain_xyz', '$EDU', '@TinyTapEDU', 'TinyTap', '@apecoin', '@ApeChainHUB', '@chumpzonape', '@MonkeesApeChain', '@TokenGators', '@dev_allo', 'DigitalX']"
2309701,Gabby Dizon | YGG,Mon Mar 26 14:53:47 +0000 2007,"viewfromhk, ysiu, alanlau999, tarunchitra, hsinjuchuang, herbiefu, calilyliu, joel_john95, cdixon, ariannasimpson, guywuolletjr, eddylazzarin, carrawu, tocelot, alive_eth, meigga, DarenMatsuoka, anjneymidha, JReedRosenthal, pet3rpan_, nichanank, SpartanBlack_1, CasperJohansen, melmelmelting, unnamedfizz, pythianism, RoyLearner, adam_badrawi, b_potts23, ForestBai1, santiagoroel, sandeepnailwal, 0xkenzi, benlakoff, masonnystrom, BalderBomans, 0xsudogm, HadickM, Yannimoto, riabhutoria, YoannTurpin1, reganbozman, samiam2194, CharlieSandor, AugieIlag, 0xSamHarrison, fehrsam, danrobinson, gakonst, arjunblj, _Dave__White_, viktorfischer, HassanBassiri, samantha_bohbot, asharoraa, MapleLeafCap, 0xAikoDai, KD2Moon, ag_dwf, AlessiaBaumgar, rajgokal, _jaechung, MustafaYilham, dcfgod, jessewldn, Derekmw23, pbartstephens, _alekslarsen, _kinjalbshah, CremeDeLaCrypto, FC_0X0, suji_yan, anildelphi, kevin_kelly_ii, YanLiberman, shaughnessy119, zemariamacedo, pierskicks, lukedelphi, clwnwrldnjyr, alexgolding_, katie_haun, rachaelrad, brxckinridge, anjan_vinod, notscottmoore, kazhiloti, DoveyWan, ManoppoMarco, Btman_Jeff, Dennyjason2, 0x_nico0, Ivantok4, panekkkk, lmrankhan, qwqiao, DangerWillRobin, shreyansh_27, KyleSamani, sillytuna, RyanCrucible, benmeyer154, MariaShen, 0xren_cf, merschmax_, camillionaire_m, Rewkang, blockhiro, MrkvakEth, ballsyalchemist, martinetlee, katherineykwu, dberenzon, katiewav, willwangtf, LucidMasi, nickgrossman, gpl_94, eclecticcapital, mikojava, hkunimitsu, ryu1, ETM612, emmacui, theshikhai, zhao_eth, _LewisHarland_",127,https://x.com/i/user/2309701,"Based on the analysis of the tweets, the user's main interests and focus areas include gaming, blockchain technology, decentralized finance (DeFi), NFTs, community-building in Web3, and project collaborations within the crypto space.","['@YGGAlerts', '@LOLLandGame', 'LOL Land Game', '@LOLLandGame', '@spamandrice', '@Disiboii', 'Parkside Story board', '@AbstractChain', '$YGG', '@delabs_james', 'Rey and John Doe', '@NftxStreet', '@YieldGuild', '@AbstractChain', 'NFTs', 'Playboy and FHM Philippines', 'Anito', 'APAC meetups', '@PudgyOceania', '@PenguHkOfficial', '@PudgyIndonesia', '@pudgyph', '@PudgyMalaysia', '@PudgyVietnam', '@PudgyIN', '@pudgythailand']"
18377825,Diogo Mónica,Thu Dec 25 18:52:31 +0000 2008,"viewfromhk, rleshner, tarunchitra, hal2001, ShanAggarwal, HoolieG, jonathankingvc, odagius, herbiefu, calilyliu, davidfeiock, cdixon, ariannasimpson, guywuolletjr, alive_eth, meigga, kimbatronic, zxocw, lalleclausen, pet3rpan_, gametheorizing, RoyLearner, adam_badrawi, b_potts23, santiagoroel, SPLehman, TrustlessState, veradittakit, hosseeb, tomhschmidt, 0xsudogm, HadickM, crainbf, Yannimoto, seanjudgeciv, DAnconia_Crypto, MoneroMahesh, samiam2194, 0xSamHarrison, JustinBarlow, fehrsam, matthuang, danrobinson, _charlienoyes, arjunblj, viktorfischer, chloejiani, asharoraa, CZituo, kelicallaghan, 0xMert_, KD2Moon, MustafaYilham, jessewldn, calebshough, sreeramkannan, pbartstephens, _alekslarsen, _kinjalbshah, CremeDeLaCrypto, gracedengx, intangiblecoins, kevin_kelly_ii, zemariamacedo, alexgolding_, katie_haun, rachaelrad, ahnchrisj, brxckinridge, lomashuk, sgershuni, delitzer, DoveyWan, 0xtony0x, ManoppoMarco, jackbplatts, 0x_nico0, panekkkk, qwqiao, rushimanche, JoeLallouz, joeykrug, zebulgar, jedbreed, KyleSamani, tusharjain_, mattshap1, dotcuriouscat, jubos, avichal, puntium, SherpaHill, merschmax_, camillionaire_m, Rewkang, roder1k, blockhiro, aaronmkern, boshen1011, DCbuild3r, klee_049, mountainwaterpi, LexSokolin, LucidMasi, nickgrossman, BronheimDaniel",106,https://x.com/i/user/18377825,"The user's main interests revolve around technology, particularly engineering, AI, blockchain, stablecoins, and cryptocurrencies. They are also interested in digital currencies, tech employment trends, and the intersection of AI and blockchain.","['Diogo Monica', 'OpenAI', 'Stablecoins', 'USDT', 'BitwiseInvest', 'NEARProtocol', 'Notion', 'Telegram', 'Tether', 'Brussels', 'Omer', 'Eurostablewatch', 'Crypto', 'NYSE', 'Black Dragon', 'Ethereum', 'Waymo', 'USDG', 'Lisboa', 'Portugal']"
960036444885565442,YZi Labs,Sun Feb 04 06:24:59 +0000 2018,"viewfromhk, ysiu, alanlau999, tarunchitra, hal2001, ShanAggarwal, wallfaicer, danabuidl, ellazhang516, 0xRickyW, p2fp2e, cyodyssey, odagius, 0xRodney, herbiefu, 0xKDOT, robertjcho, thejackheavy, calilyliu, Mega_Fund, JReedRosenthal, RoyLearner, b_potts23, ForestBai1, AliceL991, 0xmaggie5, akshat_hk, elaineyang73, santiagoroel, sandeepnailwal, 0xkenzi, veradittakit, BalderBomans, 0xsudogm, 0xSamHarrison, JustinBarlow, viktorfischer, HassanBassiri, samantha_bohbot, asharoraa, arrington, 0xAikoDai, Chrislulu816, KD2Moon, AlessiaBaumgar, a_chang888, MustafaYilham, BAYC6603, BMANLead, dujunx, Wuhuoqiu, jessewldn, pbartstephens, CremeDeLaCrypto, linsajiao, minta0103, shaughnessy119, zemariamacedo, clwnwrldnjyr, alexgolding_, CannnGurel, menzel_clayton, PaulTaylorVC, katie_haun, anjan_vinod, ErickNomad, kazhiloti, YettaSing, allen_su1024, Dennyjason2, 0x_nico0, Ivantok4, mohamedffouda, rushimanche, Andrea__Chang, shreyansh_27, KyleSamani, tusharjain_, gdog97_, RyanCrucible, KevinWilliams, MariaShen, SherpaHill, merschmax_, Rewkang, blockhiro, boshen1011, Chloeeewrx_, 0xdenniswon, klee_049, zsparta, btcdefidadi, willwangtf, YorkZhu2, LucidMasi, EvansHuangfu, BronheimDaniel, emmacui, theshikhai, Issa_Issa_Z",100,https://x.com/i/user/960036444885565442,"The user's main interests and focus areas revolve around strategic investments in tokens, equity, and emerging technologies such as Web3, artificial intelligence (AI), and biotech. They are actively involved in supporting initiatives that aim to advance humanity through democratized ownership, automated labor, and breakthrough innovations.","['YZi Labs', '10X Capital USA', 'BNB Treasury Company', 'Binance', 'CZ Binance', 'Cy Odyssey', 'Jane Sparking', 'Vitalik', 'Ella Zhang', 'Jingx777', 'Giggle Academy', 'Globe Banner', 'EASY Residency', 'Yi', 'CoinDesk']"
1395504028910424065,LayerZero,Thu May 20 22:17:54 +0000 2021,"viewfromhk, ysiu, alanlau999, hal2001, ShanAggarwal, p2fp2e, odagius, roshunpatel, 0xRodney, herbiefu, 0xKDOT, BensonY4BDV, Mega_Fund, chrislyons, guywuolletjr, eddylazzarin, carrawu, alive_eth, meigga, zxocw, hardhathen, xinsong86, valeryz, gametheorizing, leeorgroen, im_manderson, adam_badrawi, aeyakovenko, ForestBai1, AliceL991, 0xmaggie5, NPC_Leo, elaineyang73, santiagoroel, sandeepnailwal, TrustlessState, TheOneandOmsy, 0xsudogm, HadickM, hildobby_, pat_goodridge, DAnconia_Crypto, MoneroMahesh, samiam2194, Aryonchain, 0xSamHarrison, viktorfischer, HassanBassiri, chloejiani, asharoraa, arrington, kelicallaghan, ColtonFConley, MapleLeafCap, Chrislulu816, KD2Moon, AlessiaBaumgar, rajgokal, _jaechung, a_chang888, MustafaYilham, dcfgod, rongplace, BAYC6603, Wuhuoqiu, calebshough, sreeramkannan, pbartstephens, Louissongyz, minta0103, LukeWasm, kevin_kelly_ii, shaughnessy119, zemariamacedo, lukedelphi, ceterispar1bus, CannnGurel, VelvetMilkman, menzel_clayton, brxckinridge, anjan_vinod, jackbplatts, Dennyjason2, 0x_nico0, mohamedffouda, lmrankhan, 0xdjma, jedbreed, shreyansh_27, KyleSamani, michaelh_0g, RyanCrucible, benmeyer154, avichal, MariaShen, SherpaHill, camillionaire_m, Rewkang, blockhiro, CarlKVogel, DCbuild3r, 0xdenniswon, klee_049, btcdefidadi, wengevar, willwangtf, YorkZhu2, LucidMasi, mandyzcamp, eclecticcapital, EvansHuangfu, BronheimDaniel, zhao_eth, _LewisHarland_",114,https://x.com/i/user/1395504028910424065,"The user's main interests and focus areas seem to revolve around the tokenization of securities, native issuance and movement standards, DeFi ecosystems, stablecoins, and interoperability across multiple blockchain networks. They are also interested in projects and entities like LayerZero, OndoFinance, HyperliquidX, Wirexpaychain, XDC Network, StargateFinance, JitoSOL, Katana, TRUMP token, TRON, and various other tokens and projects associated with LayerZero.","['LayerZero', 'OndoFinance', 'HyperliquidX', '$PENGU', '@HyperliquidX', '$WPAY', '@base', '@wirexpaychain', 'Polygon zkEVM', 'Base', 'OFT standard', 'USDT0', 'XDC', '@XDC_Network_', 'Ethereum', 'Solana', 'Arbitrum', '@StargateFinance', '@katana', 'JitoSOL', '$TRUMP', '#TRON', '@trondao', ""LayerZero's OFT Standard"", 'LayerZero_Core', 'layerzeroscan.com']"
1858591374817587203,DoubleZero,Mon Nov 18 19:22:14 +0000 2024,"viewfromhk, tarunchitra, wallfaicer, 0xRickyW, p2fp2e, cyodyssey, odagius, ed_roman, seanbrown_0, roshunpatel, hsinjuchuang, calilyliu, Mega_Fund, eddylazzarin, carrawu, meigga, xinsong86, dianacbiggs, RoyLearner, b_potts23, aeyakovenko, AliceL991, 0xmaggie5, NPC_Leo, akshat_hk, elaineyang73, santiagoroel, sandeepnailwal, SPLehman, BalderBomans, hosseeb, 0xsudogm, HadickM, hildobby_, Yannimoto, DAnconia_Crypto, Aryonchain, tim_khoury, _charlienoyes, 0xalpo, EmiT87, viktorfischer, HassanBassiri, samantha_bohbot, kelicallaghan, 0xMert_, MapleLeafCap, Chrislulu816, KD2Moon, rajgokal, a_chang888, MustafaYilham, Derekmw23, minta0103, gracedengx, anildelphi, kevin_kelly_ii, shaughnessy119, lukedelphi, ceterispar1bus, CannnGurel, menzel_clayton, brxckinridge, anjan_vinod, panekkkk, degenpapi, kaiynne, shreyansh_27, KyleSamani, MariaShen, SherpaHill, camillionaire_m, Rewkang, blockhiro, CarlKVogel, fiskantes, mattigags, DCbuild3r, 0xdenniswon, klee_049, zsparta, btcdefidadi, AshAEgan, LucidMasi, matthewabeck1, ETM612, BronheimDaniel, zhao_eth, Issa_Issa_Z",89,https://x.com/i/user/1858591374817587203,"The user's main interests and focus areas seem to revolve around building a new internet for distributed systems, high-performance blockchain infrastructure, and crypto projects like DoubleZero and Solana. They are actively engaged in activities related to networking, infrastructure setup, and exploring advancements in internet technologies.","['SolanaSkyline', 'DoubleZero', 'Kisetsu Stake', 'T-STAKE Systems', 'MalbecLabs_xyz', 'Verafy TruthNode', 'Solana', 'IBRL', 'Austin_Federa', 'DefiDevCorp', 'Stache Node', 'ShelbyServes']"
196519120,Julien B.,Wed Sep 29 09:08:00 +0000 2010,"viewfromhk, tarunchitra, hal2001, wallfaicer, odagius, chrismaree_, seanbrown_0, 0xRodney, hsinjuchuang, 0xKDOT, feynyman, BensonY4BDV, calilyliu, guywuolletjr, eddylazzarin, alive_eth, meigga, zxocw, hardhathen, _weidai, SpartanBlack_1, melmelmelting, im_manderson, RoyLearner, adam_badrawi, b_potts23, sandeepnailwal, TrustlessState, benlakoff, masonnystrom, FranklinBi, BalderBomans, tomhschmidt, 0xsudogm, hildobby_, crainbf, meherroy, Yannimoto, riabhutoria, YoannTurpin1, MikeZajko, DAnconia_Crypto, 0xSamHarrison, fehrsam, FrankieIsLost, danrobinson, _charlienoyes, gakonst, arjunblj, viktorfischer, HassanBassiri, asharoraa, arrington, kelicallaghan, ColtonFConley, MapleLeafCap, rajgokal, a_chang888, dcfgod, BAYC6603, jessewldn, calebshough, jphackworth42, sreeramkannan, pbartstephens, _alekslarsen, CremeDeLaCrypto, suji_yan, willnuelle, anildelphi, kevin_kelly_ii, YanLiberman, shaughnessy119, zemariamacedo, pierskicks, ceterispar1bus, clwnwrldnjyr, alexgolding_, ivailoj, diogomonica, brxckinridge, lomashuk, sgershuni, artofkot, AdrianUberto, notscottmoore, delitzer, 13yearoldvc, brockjelmore, kazhiloti, DoveyWan, Btman_Jeff, 0x_nico0, panekkkk, lmrankhan, qwqiao, 0xdjma, DangerWillRobin, stutireal, degenpapi, rushimanche, joeykrug, kaiynne, hjmomtazi, Andrea__Chang, KyleSamani, sillytuna, RyanCrucible, benmeyer154, dotcuriouscat, MariaShen, SherpaHill, merschmax_, camillionaire_m, Rewkang, mdudas, will__price, fiskantes, DCbuild3r, MikeSilagadze, 0xdenniswon, martinetlee, AshAEgan, dberenzon, mountainwaterpi, LexSokolin, willwangtf, YorkZhu2, LucidMasi, nickgrossman, mikojava, EvansHuangfu, ETM612, BronheimDaniel, emmacui, theshikhai, _LewisHarland_",137,https://x.com/i/user/196519120,"The user appears to be highly interested in technology, specifically in the intersection of cryptocurrency, artificial intelligence, and decentralized finance (DeFi). They are enthusiastic about advancements in provable computation, secure content, and real confidentiality using ZK proofs, AI, and crypto. Additionally, the user shows interest in innovative urban design concepts, environmental sustainability, and the potential impact of private credit initiatives in DeFi.","['Bitcoin', 'ZK', 'AI', 'RektHQ', 'Gizatechxyz', 'DeFi', 'French', 'ChatGPT', 'Jack', 'Levelsio', 'Disney', 'Warner', 'Stake Capital', 'mF-ONE', 'MidasRWA', 'FasanaraCapital', 'MorphoLabs', 'SteakhouseFi']"
950486928784228352,Yu Hu 🌊,Mon Jan 08 21:58:37 +0000 2018,"viewfromhk, tarunchitra, hal2001, jonathankingvc, MichaelWuAmber, wallfaicer, danabuidl, ellazhang516, 0xRickyW, p2fp2e, cyodyssey, seanbrown_0, roshunpatel, hsinjuchuang, herbiefu, BensonY4BDV, calilyliu, DarenMatsuoka, _weidai, pet3rpan_, gametheorizing, melmelmelting, tumilett, RoyLearner, 0xmaggie5, elaineyang73, sandeepnailwal, 0xkenzi, TrustlessState, lstephanian, Ishanee_, tomhschmidt, TheOneandOmsy, 0xsudogm, HadickM, hildobby_, casatay, pat_goodridge, YoannTurpin1, DAnconia_Crypto, JustinBarlow, nakul___gupta, caitlinxyz, viktorfischer, HassanBassiri, chloejiani, 0xMert_, MapleLeafCap, 0xAikoDai, Chrislulu816, KD2Moon, rajgokal, rongplace, BMANLead, dujunx, jessewldn, AlanaDLevin, jphackworth42, sreeramkannan, yuan_han_li, FC_0X0, linsajiao, minta0103, gracedengx, suji_yan, anildelphi, lukedelphi, clwnwrldnjyr, brxckinridge, anjan_vinod, 13yearoldvc, 0xThoor, ErickNomad, YettaSing, allenday, 0xtony0x, ManoppoMarco, allen_su1024, 0x_nico0, Ivantok4, mohamedffouda, qwqiao, rushimanche, SmokeyTheBera, joeykrug, kaiynne, hjmomtazi, abhishek095, michaelh_0g, avichal, MariaShen, puntium, SherpaHill, Rewkang, blockhiro, grisacerne, fiskantes, Chloeeewrx_, DCbuild3r, 0xdenniswon, btcdefidadi, wengevar, mountainwaterpi, katiewav, willwangtf, LucidMasi, emmacui, theshikhai, Issa_Issa_Z, caseykcaruso",110,https://x.com/i/user/950486928784228352,"The user is heavily involved and interested in the Kaito ecosystem, which includes projects, tokens, and activities related to decentralized finance (DeFi) and social media. They are focused on community building, distribution mechanisms, partnerships, and incentivizing high-quality content creation within this ecosystem. The user is also involved in hiring for operational roles within the blockchain space.","['Bybit', 'Kaito', 'Humanity', 'MaraCakeHotSale', 'Magic Newton', 'loudio', 'Jan', 'Mantle', 'Arbitrum', 'Polkadot', 'Infinex', 'SOL', 'Yaps', 'gKaito', 'Privy', 'Singapore']"
2178858974,Marco Santori,Wed Nov 06 21:53:38 +0000 2013,"viewfromhk, tarunchitra, hal2001, ShanAggarwal, hsinjuchuang, robertjcho, calilyliu, ariannasimpson, guywuolletjr, alive_eth, lalleclausen, dianacbiggs, CasperJohansen, melmelmelting, im_manderson, pythianism, RoyLearner, adam_badrawi, SPLehman, TrustlessState, RyanSAdams, dan_pantera, veradittakit, FranklinBi, Ishanee_, BalderBomans, hosseeb, pat_goodridge, LindsayxLin, crainbf, balajis, mattwalshinbos, nic__carter, riabhutoria, emgurevich, ronwhammond, reganbozman, tylev, 0xSamHarrison, tim_khoury, JustinBarlow, fehrsam, arjunblj, HassanBassiri, chloejiani, arrington, kelicallaghan, KD2Moon, jchervinsky, AlanaDLevin, sreeramkannan, pbartstephens, wbrads, _alekslarsen, CremeDeLaCrypto, novogratz, kevin_kelly_ii, YanLiberman, shaughnessy119, zemariamacedo, alexgolding_, ivailoj, katie_haun, diogomonica, rachaelrad, brxckinridge, lomashuk, AdrianUberto, delitzer, chtmorris, Btman_Jeff, jackbplatts, panekkkk, joeykrug, jedbreed, hjmomtazi, KyleSamani, tusharjain_, mattshap1, sillytuna, avichal, MariaShen, SherpaHill, merschmax_, camillionaire_m, Rewkang, roder1k, mdudas, Chloeeewrx_, 0xdenniswon, katherineykwu, dberenzon, nickgrossman, gpl_94, mikojava",95,https://x.com/i/user/2178858974,"The user's main interests seem to revolve around the cryptocurrency space, particularly focusing on projects and tokens like $SOL, $DFDV, Bitcoin, stablecoins, liquid staking tokens (LSTs), and regulatory developments impacting the crypto industry. They also show an interest in companies investing in crypto assets, treasury strategies, and the intersection of traditional finance with digital assets.","['DEFIDEVCORP', 'SOL', 'DFDV', 'Bitcoin', 'Excellion', 'Circle', 'PanteraCapital', 'ExponentFinance', 'DriftProtocol', 'US Army', 'President Roosevelt', 'United Auto Workers', 'Frank Bi', 'GENIUS Act', 'JPMorgan', 'Citi', 'm0foundation', 'msantoriESQ', 'Sanctum', 'Kraken', 'BackedFi', 'Solana', 'xStocksFi']"
820887797221322752,cindy | drift,Mon Jan 16 06:57:57 +0000 2017,"viewfromhk, tarunchitra, 0xmadisonn, hal2001, HoolieG, jonathankingvc, seanbrown_0, roshunpatel, 0xRodney, davidfeiock, meigga, zxocw, JReedRosenthal, hardhathen, gametheorizing, pythianism, RoyLearner, akshat_hk, elaineyang73, santiagoroel, benlakoff, masonnystrom, lstephanian, msantoriESQ, BalderBomans, tomhschmidt, 0xsudogm, HadickM, riabhutoria, DAnconia_Crypto, AugieIlag, mcasto_, 0xSamHarrison, JustinBarlow, danrobinson, gakonst, arjunblj, caitlinxyz, _Dave__White_, viktorfischer, HassanBassiri, chloejiani, asharoraa, arrington, 0xMert_, MapleLeafCap, 0xAikoDai, KD2Moon, rajgokal, a_chang888, MustafaYilham, dcfgod, sreeramkannan, _kinjalbshah, CremeDeLaCrypto, yuan_han_li, linsajiao, LukeWasm, suji_yan, anildelphi, kevin_kelly_ii, YanLiberman, shaughnessy119, zemariamacedo, clwnwrldnjyr, alexgolding_, diogomonica, brxckinridge, anjan_vinod, ErickNomad, DoveyWan, YettaSing, 0xtony0x, ManoppoMarco, Btman_Jeff, allen_su1024, Ivantok4, lmrankhan, qwqiao, 0xdjma, stutireal, SmokeyTheBera, jedbreed, kaiynne, Andrea__Chang, TheOnlyNom, KyleSamani, tusharjain_, mattshap1, gdog97_, dotcuriouscat, avichal, 0xren_cf, camillionaire_m, blockhiro, fiskantes, zsparta, martinetlee, katherineykwu, mountainwaterpi, katiewav, willwangtf, LucidMasi, theo_diamandis, eclecticcapital, emmacui, theshikhai",107,https://x.com/i/user/820887797221322752,"The user's main interests and focus areas are centered around decentralized finance (DeFi), trading on Solana, liquidity mechanisms, market microstructure, automated trading strategies, token issuance, and user experience enhancements in trading platforms.","['DriftProtocol', 'Solana', 'Phantom', 'gBTC', 'PUMP', 'Elemental', 'Cindy', 'MapleLeafCap', 'bidclubio', 'Drift Foundation', 'DAO']"
