id,name,register_date,followed_by,followers_count,link
1259298306397745152,Size Chad,Sun May 10 01:44:57 +0000 2020,"serg_xyz, QwQiao, luffistotle, OmniscientAsian, Darrenlautf, 0xWenMoon, kidponga, janehk, Daryllautk, 0xRainandCoffee, YeouJie, andyisnotandy, bridge__harris, Shaughnessy119, geenty, j0hnwang, krybharat, CryptoSources, 0xMaki, 0xdetweiler, 0xChanglu, alexgedevani, MariaShen, mattyryze, AustinBarack, roybitsir, GrantStenger, tomhschmidt, kapursanat, 0xbilly",30,https://x.com/i/user/1259298306397745152
1239220889805185024,p3shoemaker,Sun Mar 15 16:04:31 +0000 2020,"serg_xyz, NTmoney, stutireal, ishanee_, janehk, masonnystrom, andyisnotandy, benlakoff, pet3rpan_, caseykcaruso, bridge__harris, Louissongyz, eclecticcapital, robbiepetersen_, firstc0in, geenty, j0hnwang, cooper_kunz, 0xMaki, yekiM_o, samoyedali, caitlinxyz, alexgedevani, MariaShen, mattyryze, delitzer, GrantStenger, tomhschmidt, kapursanat",29,https://x.com/i/user/1239220889805185024
3589535421,eto,Tue Sep 08 16:59:18 +0000 2015,"serg_xyz, luffistotle, Darrenlautf, kidponga, Daryllautk, 0xRainandCoffee, YeouJie, Mikey0x_, bridge__harris, eclecticcapital, OuroborosCap8, Shaughnessy119, firstc0in, notnotstorm, j0hnwang, ncerovac, CryptoSources, 0xMaki, 0xdetweiler, samoyedali, alexgedevani, GrantStenger, kapursanat",23,https://x.com/i/user/3589535421
279828819,Evanss6,Sun Apr 10 03:10:20 +0000 2011,"serg_xyz, NTmoney, OmniscientAsian, Darrenlautf, 0xWenMoon, Daryllautk, YeouJie, benlakoff, pet3rpan_, BigBrainKasey, caseykcaruso, cosmo_jiang, OuroborosCap8, panekkkk, Shaughnessy119, geenty, lmrankhan, notnotstorm, j0hnwang, krybharat, CryptoSources, sjdedic, jennyqcheng, 0xMaki, ceterispar1bus, caitlinxyz, alexgedevani, MariaShen, mattyryze, zacxbt, AustinBarack, TaikiMaeda2, GrantStenger, tomhschmidt, kapursanat, 0xbilly",36,https://x.com/i/user/279828819
1071942464888598531,Quinn Thompson,Mon Dec 10 01:39:34 +0000 2018,"serg_xyz, 0xRaghav, KyleSamani, kidponga, reganbozman, 0xRainandCoffee, andyisnotandy, benlakoff, Mikey0x_, cosmo_jiang, OuroborosCap8, panekkkk, Shaughnessy119, Yedidbotton, lmrankhan, krybharat, sjdedic, Sh_ivam, 0xMaki, ceterispar1bus, alexgedevani, mattyryze, zacxbt, AustinBarack, delitzer, tomhschmidt, kapursanat",27,https://x.com/i/user/1071942464888598531
26377478,Laura Shin,Wed Mar 25 00:40:59 +0000 2009,"serg_xyz, 0xRaghav, QwQiao, NTmoney, OmniscientAsian, stutireal, Darrenlautf, 0xWenMoon, ishanee_, janehk, reganbozman, Daryllautk, YeouJie, masonnystrom, andyisnotandy, benlakoff, caseykcaruso, bridge__harris, OuroborosCap8, panekkkk, AliceL991, robbiepetersen_, Shaughnessy119, tkstanczak, amanda0x, geenty, lmrankhan, notnotstorm, j0hnwang, _weidai, krybharat, cooper_kunz, sjdedic, jonathankingvc, jennyqcheng, Sh_ivam, 0xMaki, HoolieG, sjrosenblum, yekiM_o, 0xChanglu, caitlinxyz, alexgedevani, NaytheForceBwU, thetinaverse, MariaShen, mattyryze, zacxbt, AustinBarack, roybitsir, TaikiMaeda2, delitzer, GrantStenger, tomhschmidt, kapursanat, 0xbilly",56,https://x.com/i/user/26377478
1196542741871771648,Art of The CMS,Mon Nov 18 21:36:49 +0000 2019,"serg_xyz, QwQiao, KyleSamani, luffistotle, OmniscientAsian, stutireal, Darrenlautf, kidponga, janehk, reganbozman, Daryllautk, 0xRainandCoffee, YeouJie, masonnystrom, andyisnotandy, benlakoff, 0xKofi, SimaoCCruz, bridge__harris, cosmo_jiang, panekkkk, Shaughnessy119, tkstanczak, Yedidbotton, amanda0x, firstc0in, geenty, lmrankhan, j0hnwang, krybharat, ncerovac, CryptoSources, sjdedic, jennyqcheng, Sh_ivam, 0xMaki, 0xdetweiler, ceterispar1bus, gakonst, alexgedevani, NaytheForceBwU, MariaShen, mattyryze, zacxbt, AustinBarack, roybitsir, TaikiMaeda2, delitzer, GrantStenger, tomhschmidt, kapursanat, 0xbilly",52,https://x.com/i/user/1196542741871771648
1426732252768182281,threadguy,Sun Aug 15 02:27:42 +0000 2021,"serg_xyz, QwQiao, KyleSamani, NTmoney, Darrenlautf, 0xWenMoon, ishanee_, janehk, Daryllautk, masonnystrom, andyisnotandy, benlakoff, Mikey0x_, pet3rpan_, eclecticcapital, panekkkk, robbiepetersen_, Shaughnessy119, amanda0x, lmrankhan, j0hnwang, krybharat, cooper_kunz, CryptoSources, sjdedic, jonathankingvc, Sh_ivam, 0xMaki, sjrosenblum, 0xdetweiler, yekiM_o, ceterispar1bus, 0xChanglu, caitlinxyz, alexgedevani, NaytheForceBwU, thetinaverse, MariaShen, mattyryze, zacxbt, AustinBarack, roybitsir, TaikiMaeda2, GrantStenger, tomhschmidt",45,https://x.com/i/user/1426732252768182281
1766051901823655936,Nachi,Fri Mar 08 10:44:43 +0000 2024,"serg_xyz, QwQiao, OmniscientAsian, Darrenlautf, 0xWenMoon, YeouJie, Louissongyz, Shaughnessy119, lmrankhan, j0hnwang, krybharat, jennyqcheng, ceterispar1bus, mattyryze, zacxbt, AustinBarack, TaikiMaeda2, 0xbilly",18,https://x.com/i/user/1766051901823655936
2363290915,Meltem Demirors,Wed Feb 26 22:49:15 +0000 2014,"serg_xyz, KyleSamani, NTmoney, OmniscientAsian, Darrenlautf, kidponga, janehk, reganbozman, Daryllautk, masonnystrom, andyisnotandy, benlakoff, pet3rpan_, caseykcaruso, SimaoCCruz, eclecticcapital, panekkkk, Shaughnessy119, tkstanczak, Yedidbotton, amanda0x, geenty, lmrankhan, krybharat, sjdedic, jennyqcheng, Sh_ivam, 0xMaki, HoolieG, sjrosenblum, ceterispar1bus, samoyedali, 0xChanglu, n4motto, caitlinxyz, alexgedevani, NaytheForceBwU, jnwng, thetinaverse, MariaShen, mattyryze, AustinBarack, roybitsir, TaikiMaeda2, delitzer, GrantStenger, tomhschmidt, kapursanat, 0xbilly",49,https://x.com/i/user/2363290915
