id,name,register_date,followed_by,followers_count
1141179834,Hsin-Ju | Hack VC ⏩ Solana Accelerate,Sat Feb 02 01:36:22 +0000 2013,"serg_xyz, 0xRaghav, QwQiao, OmniscientAsian, Darrenlautf, 0xminion, janehk, Daryllautk, benlakoff, pet3rpan_, panekkkk, tkstanczak, lmrankhan, j0hnwang, ncerovac, 0xMaki, MariaShen, roybitsir, delitzer, tomhschmidt",20
1855822374345789440,dev.fun,Mon Nov 11 04:08:40 +0000 2024,"serg_xyz, 0xminion, Shaughnessy119, firstc0in, j0hnwang, jonathankingvc, jennyqcheng, lapgandhi, Sh_ivam, 0xMaki, 0xdetweiler, yekiM_o, samoyedali, alexgedevani, MariaShen, zacxbt, AustinBarack, roybitsir, gregohr12",19
864649212394438656,jae,Wed May 17 01:10:11 +0000 2017,"serg_xyz, QwQiao, 0xminion, janehk, Daryllautk, sandraaleow, masonnystrom, andyisnotandy, benlakoff, lmrankhan, j0hnwang, krybharat, CryptoSources, sjdedic, 0xMaki, 0xChanglu, AustinBarack, TaikiMaeda2, GrantStenger",19
152809943,Josh Cornelius,Sun Jun 06 23:17:00 +0000 2010,"serg_xyz, luffistotle, Darrenlautf, 0xminion, janehk, Daryllautk, sandraaleow, andyisnotandy, benlakoff, eclecticcapital, robbiepetersen_, amanda0x, j0hnwang, lapgandhi, samoyedali, alexgedevani, thetinaverse, MariaShen, zacxbt",19
991062733675225088,Ashwin,Mon Apr 30 21:12:23 +0000 2018,"serg_xyz, QwQiao, KyleSamani, Darrenlautf, 0xminion, janehk, Daryllautk, sandraaleow, masonnystrom, bridge__harris, panekkkk, firstc0in, lmrankhan, j0hnwang, 0xMaki, MariaShen, zacxbt, AustinBarack, roybitsir, delitzer, tomhschmidt",21
285901606,Jay,Fri Apr 22 00:33:06 +0000 2011,"serg_xyz, Darrenlautf, 0xminion, janehk, reganbozman, wkhosrowshahi1, Shaughnessy119, lmrankhan, cooper_kunz, jonathankingvc, lapgandhi, 0xMaki, HoolieG, samoyedali, caitlinxyz, alexgedevani, MariaShen, tomhschmidt, 0xbilly",19
92477301,Ryan Kim,Wed Nov 25 08:21:50 +0000 2009,"serg_xyz, QwQiao, KyleSamani, Darrenlautf, 0xminion, kidponga, janehk, YeouJie, pet3rpan_, panekkkk, tkstanczak, lmrankhan, sjdedic, lapgandhi, 0xMaki, samoyedali, 0xChanglu, roybitsir, tomhschmidt",19
519209521,Sid Coelho-Prabhu | sidcoin.eth 🛡️,Fri Mar 09 05:27:08 +0000 2012,"serg_xyz, QwQiao, NTmoney, OmniscientAsian, 0xminion, janehk, panekkkk, j0hnwang, ncerovac, AjeetK, jonathankingvc, 0xMaki, HoolieG, sjrosenblum, n4motto, jnwng, AustinBarack, roybitsir, tomhschmidt",19
465067650,Brandon Potts,Sun Jan 15 22:52:09 +0000 2012,"serg_xyz, grisacerne, stutireal, Darrenlautf, 0xminion, janehk, pet3rpan_, amanda0x, j0hnwang, sjdedic, jennyqcheng, Sh_ivam, 0xMaki, NaytheForceBwU, MariaShen, AustinBarack, roybitsir, delitzer, kapursanat, 0xbilly",20
1395628622417825795,Dariya Kho,Fri May 21 06:32:56 +0000 2021,"serg_xyz, 0xminion, janehk, reganbozman, benlakoff, pet3rpan_, bridge__harris, j0hnwang, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, sjrosenblum, yekiM_o, n4motto, alexgedevani, MariaShen, roybitsir, GrantStenger",19
897890544613040128,Rocco,Wed Aug 16 18:39:22 +0000 2017,"serg_xyz, KyleSamani, Darrenlautf, 0xminion, janehk, reganbozman, masonnystrom, Mikey0x_, panekkkk, AliceL991, Shaughnessy119, geenty, n4motto, alexgedevani, MariaShen, roybitsir, delitzer, tomhschmidt, 0xbilly",19
295105770,Gökhan,Sun May 08 11:21:29 +0000 2011,"serg_xyz, 0xRaghav, KyleSamani, stutireal, 0xWenMoon, 0xminion, kidponga, ishanee_, reganbozman, BigBrainKasey, Louissongyz, robbiepetersen_, tkstanczak, ncerovac, jonathankingvc, lapgandhi, 0xMaki, n4motto, alexgedevani, thetinaverse, MariaShen",21
1366753588047978500,ultra sound money 🦇🔊,Tue Mar 02 14:14:11 +0000 2021,"serg_xyz, NTmoney, 0xminion, kidponga, benlakoff, notnotstorm, j0hnwang, ncerovac, jonathankingvc, lapgandhi, Sh_ivam, 0xMaki, yekiM_o, samoyedali, alexgedevani, MariaShen, AustinBarack, tomhschmidt, 0xbilly",19
1140637286637473792,Biconomy,Mon Jun 17 15:08:15 +0000 2019,"serg_xyz, luffistotle, Darrenlautf, 0xminion, kidponga, janehk, andyisnotandy, OuroborosCap8, j0hnwang, krybharat, CryptoSources, lapgandhi, Sh_ivam, 0xMaki, alexgedevani, MariaShen, AustinBarack, roybitsir, GrantStenger",19
357312062,Bitcoin,Thu Aug 18 05:06:08 +0000 2011,"serg_xyz, KyleSamani, OmniscientAsian, 0xWenMoon, janehk, wkhosrowshahi1, andyisnotandy, benlakoff, Yedidbotton, lmrankhan, j0hnwang, CryptoSources, sjrosenblum, jnwng, MariaShen, zacxbt, AustinBarack, roybitsir, 0xbilly",19
934061151008251904,Fabric Ventures,Fri Nov 24 14:08:27 +0000 2017,"0xRaghav, luffistotle, 0xWenMoon, 0xminion, kidponga, janehk, reganbozman, wkhosrowshahi1, Louissongyz, eclecticcapital, panekkkk, robbiepetersen_, 0xdetweiler, samoyedali, alexgedevani, MariaShen, zacxbt, roybitsir, 0xbilly",19
265758342,YQ,Mon Mar 14 03:09:10 +0000 2011,"0xRaghav, Darrenlautf, 0xWenMoon, 0xminion, ishanee_, reganbozman, YeouJie, bridge__harris, Louissongyz, tkstanczak, lmrankhan, j0hnwang, lapgandhi, Sh_ivam, 0xMaki, 0xChanglu, zacxbt, AustinBarack, kapursanat",19
