id,name,register_date,followed_by,followers_count,link
1855822374345789440,dev.fun,Mon Nov 11 04:08:40 +0000 2024,"serg_xyz, 0xminion, reganbozman, Shaughnessy119, firstc0in, j0hnwang, jonathankingvc, jennyqcheng, Sh_ivam, 0xMaki, 0xdetweiler, yekiM_o, samoyedali, alexgedevani, MariaShen, zacxbt, AustinBarack, roybitsir, gregohr12",19,https://x.com/i/user/1855822374345789440
125952671,Matt Shapiro,Wed Mar 24 11:22:41 +0000 2010,"serg_xyz, QwQiao, KyleSamani, OmniscientAsian, Darrenlautf, 0xminion, janehk, sandraaleow, masonnystrom, Mikey0x_, pet3rpan_, Shaughnessy119, geenty, jonathankingvc, Sh_ivam, 0xMaki, alexgedevani, mattyryze, AustinBarack",19,https://x.com/i/user/125952671
4889875948,charker 📱,Mon Feb 08 21:11:24 +0000 2016,"serg_xyz, KyleSamani, Darrenlautf, kidponga, sandraaleow, j0hnwang, jonathankingvc, 0xMaki, n4motto, caitlinxyz, alexgedevani, NaytheForceBwU, jnwng, thetinaverse, MariaShen, mattyryze, AustinBarack, roybitsir, GrantStenger",19,https://x.com/i/user/4889875948
285901606,Jay,Fri Apr 22 00:33:06 +0000 2011,"serg_xyz, Darrenlautf, 0xminion, janehk, reganbozman, wkhosrowshahi1, Shaughnessy119, lmrankhan, cooper_kunz, jonathankingvc, 0xMaki, HoolieG, samoyedali, caitlinxyz, alexgedevani, MariaShen, mattyryze, tomhschmidt, 0xbilly",19,https://x.com/i/user/285901606
519209521,Sid Coelho-Prabhu | sidcoin.eth 🛡️,Fri Mar 09 05:27:08 +0000 2012,"serg_xyz, QwQiao, NTmoney, OmniscientAsian, 0xminion, janehk, panekkkk, j0hnwang, ncerovac, AjeetK, jonathankingvc, 0xMaki, HoolieG, sjrosenblum, n4motto, jnwng, mattyryze, AustinBarack, roybitsir",19,https://x.com/i/user/519209521
1395628622417825795,Dariya Kho,Fri May 21 06:32:56 +0000 2021,"serg_xyz, QwQiao, 0xminion, janehk, reganbozman, benlakoff, pet3rpan_, bridge__harris, j0hnwang, jonathankingvc, Sh_ivam, 0xMaki, sjrosenblum, yekiM_o, n4motto, alexgedevani, MariaShen, roybitsir, GrantStenger",19,https://x.com/i/user/1395628622417825795
897890544613040128,Rocco,Wed Aug 16 18:39:22 +0000 2017,"serg_xyz, KyleSamani, Darrenlautf, 0xminion, janehk, reganbozman, masonnystrom, Mikey0x_, panekkkk, AliceL991, Shaughnessy119, geenty, n4motto, alexgedevani, MariaShen, mattyryze, roybitsir, delitzer, 0xbilly",19,https://x.com/i/user/897890544613040128
39592581,chrislyons,Tue May 12 20:50:50 +0000 2009,"serg_xyz, NTmoney, Darrenlautf, 0xminion, janehk, amanda0x, j0hnwang, sjdedic, jonathankingvc, HoolieG, sjrosenblum, yekiM_o, 0xChanglu, alexgedevani, MariaShen, mattyryze, AustinBarack, roybitsir, delitzer",19,https://x.com/i/user/39592581
1319287761048723458,Mario Nawfal,Thu Oct 22 14:42:25 +0000 2020,"serg_xyz, benlakoff, BigBrainKasey, eclecticcapital, OuroborosCap8, AliceL991, lmrankhan, j0hnwang, krybharat, AjeetK, sjdedic, jonathankingvc, 0xChanglu, Solofunk30, MariaShen, mattyryze, zacxbt, AustinBarack, 0xbilly",19,https://x.com/i/user/1319287761048723458
15875851,Dan Boneh,Sat Aug 16 19:23:31 +0000 2008,"0xRaghav, KyleSamani, rishisthinking, 0xRainandCoffee, benlakoff, SimaoCCruz, bridge__harris, panekkkk, tkstanczak, firstc0in, lmrankhan, notnotstorm, j0hnwang, _weidai, jonathankingvc, 0xMaki, HoolieG, mattyryze, GrantStenger",19,https://x.com/i/user/15875851
1237411,David Marcus,Thu Mar 15 18:09:53 +0000 2007,"0xRaghav, KyleSamani, janehk, SimaoCCruz, eclecticcapital, panekkkk, tkstanczak, Yedidbotton, lmrankhan, j0hnwang, Sh_ivam, HoolieG, sjrosenblum, NaytheForceBwU, MariaShen, mattyryze, zacxbt, AustinBarack, roybitsir",19,https://x.com/i/user/1237411
4727130589,Anurag Arjun,Fri Jan 08 06:29:39 +0000 2016,"0xRaghav, KyleSamani, 0xminion, kidponga, janehk, rishisthinking, 0xRainandCoffee, YeouJie, andyisnotandy, bridge__harris, Louissongyz, lmrankhan, j0hnwang, _weidai, Sh_ivam, 0xMaki, mattyryze, zacxbt, kapursanat",19,https://x.com/i/user/4727130589
