id,name,register_date,followed_by,followers_count
2423897114,Jiani Chen,Wed Apr 02 14:29:37 +0000 2014,"serg_xyz, KyleSamani, stutireal, ishanee_, rishisthinking, 0xRainandCoffee, andyisnotandy, benlakoff, pet3rpan_, bridge__harris, Louissongyz, Shaughnessy119, firstc0in, jonathankingvc, 0xMaki, alexgedevani, jnwng, mattyryze, kapursanat",19
4394667015,lucacs,Sun Dec 06 14:25:02 +0000 2015,"serg_xyz, NTmoney, Darrenlautf, ishanee_, Daryllautk, sandraaleow, andyisnotandy, Mikey0x_, j0hnwang, krybharat, lapgandhi, 0xMaki, 0xdetweiler, samoyedali, caitlinxyz, Solofunk30, alexgedevani, zacxbt, kapursanat, 0xbilly",20
910620024506896384,Pedr◎ 🇧🇷,Wed Sep 20 21:41:47 +0000 2017,"serg_xyz, KyleSamani, 0xWenMoon, rishisthinking, wkhosrowshahi1, masonnystrom, eclecticcapital, Shaughnessy119, amanda0x, lmrankhan, j0hnwang, 0xChanglu, alexgedevani, NaytheForceBwU, jnwng, mattyryze, zacxbt, AustinBarack, GrantStenger",19
3003398068,justinaversano,Wed Jan 28 15:29:55 +0000 2015,"serg_xyz, NTmoney, Darrenlautf, 0xminion, janehk, benlakoff, pet3rpan_, Shaughnessy119, lmrankhan, j0hnwang, krybharat, 0xMaki, yekiM_o, 0xChanglu, alexgedevani, MariaShen, mattyryze, kapursanat, 0xbilly",19
92477301,Ryan Kim,Wed Nov 25 08:21:50 +0000 2009,"serg_xyz, QwQiao, KyleSamani, Darrenlautf, 0xminion, kidponga, janehk, YeouJie, pet3rpan_, panekkkk, tkstanczak, lmrankhan, sjdedic, lapgandhi, 0xMaki, samoyedali, 0xChanglu, mattyryze, roybitsir, tomhschmidt",20
897890544613040128,Rocco,Wed Aug 16 18:39:22 +0000 2017,"serg_xyz, KyleSamani, Darrenlautf, 0xminion, janehk, reganbozman, masonnystrom, Mikey0x_, panekkkk, AliceL991, Shaughnessy119, geenty, n4motto, alexgedevani, MariaShen, mattyryze, roybitsir, delitzer, tomhschmidt, 0xbilly",20
1285527355163721730,ish,Tue Jul 21 10:49:58 +0000 2020,"serg_xyz, grisacerne, OmniscientAsian, stutireal, 0xminion, kidponga, YeouJie, masonnystrom, andyisnotandy, Louissongyz, eclecticcapital, lmrankhan, jennyqcheng, Sh_ivam, 0xMaki, 0xChanglu, mattyryze, delitzer, kapursanat",19
372650546,sacha 🦣,Tue Sep 13 04:51:11 +0000 2011,"serg_xyz, 0xRaghav, KyleSamani, kidponga, 0xRainandCoffee, eclecticcapital, Shaughnessy119, ncerovac, cooper_kunz, lapgandhi, 0xMaki, yekiM_o, ceterispar1bus, samoyedali, n4motto, thetinaverse, MariaShen, mattyryze, roybitsir",19
39592581,chrislyons,Tue May 12 20:50:50 +0000 2009,"serg_xyz, NTmoney, Darrenlautf, 0xminion, janehk, amanda0x, j0hnwang, sjdedic, jonathankingvc, HoolieG, sjrosenblum, yekiM_o, 0xChanglu, alexgedevani, MariaShen, mattyryze, AustinBarack, roybitsir, delitzer",19
14161568,Sonal Chokshi,Mon Mar 17 05:34:28 +0000 2008,"serg_xyz, NTmoney, Darrenlautf, janehk, rishisthinking, 0xRainandCoffee, masonnystrom, andyisnotandy, Mikey0x_, lmrankhan, Sh_ivam, HoolieG, sjrosenblum, n4motto, caitlinxyz, alexgedevani, MariaShen, mattyryze, kapursanat",19
951232673296601088,lior.eth (Lior Messika),Wed Jan 10 23:21:57 +0000 2018,"serg_xyz, NTmoney, stutireal, janehk, rishisthinking, YeouJie, masonnystrom, benlakoff, SimaoCCruz, robbiepetersen_, Shaughnessy119, krybharat, sjdedic, jonathankingvc, lapgandhi, 0xMaki, samoyedali, MariaShen, mattyryze, zacxbt",20
245556369,superoo7,Mon Jan 31 23:39:51 +0000 2011,"0xRaghav, OmniscientAsian, Darrenlautf, 0xminion, rishisthinking, sandraaleow, YeouJie, benlakoff, Mikey0x_, Shaughnessy119, lapgandhi, Sh_ivam, 0xMaki, 0xdetweiler, gakonst, alexgedevani, mattyryze, AustinBarack, 0xbilly",19
1237411,David Marcus,Thu Mar 15 18:09:53 +0000 2007,"0xRaghav, KyleSamani, janehk, SimaoCCruz, eclecticcapital, panekkkk, tkstanczak, Yedidbotton, lmrankhan, j0hnwang, Sh_ivam, HoolieG, sjrosenblum, NaytheForceBwU, MariaShen, mattyryze, zacxbt, AustinBarack, roybitsir",19
1484922694651060235,alexander,Sat Jan 22 16:17:05 +0000 2022,"0xRaghav, Darrenlautf, 0xWenMoon, Daryllautk, sandraaleow, wkhosrowshahi1, masonnystrom, andyisnotandy, pet3rpan_, cosmo_jiang, OuroborosCap8, amanda0x, notnotstorm, jonathankingvc, 0xMaki, HoolieG, yekiM_o, Solofunk30, mattyryze, AustinBarack",20
1029230643513679872,Dev 🧪,Tue Aug 14 04:58:02 +0000 2018,"0xRaghav, KyleSamani, NTmoney, rishisthinking, eclecticcapital, panekkkk, j0hnwang, _weidai, lapgandhi, 0xMaki, ceterispar1bus, samoyedali, n4motto, gakonst, MariaShen, mattyryze, roybitsir, delitzer, kapursanat",19
4727130589,Anurag Arjun,Fri Jan 08 06:29:39 +0000 2016,"0xRaghav, KyleSamani, 0xminion, kidponga, rishisthinking, 0xRainandCoffee, YeouJie, andyisnotandy, bridge__harris, Louissongyz, lmrankhan, j0hnwang, _weidai, lapgandhi, Sh_ivam, 0xMaki, mattyryze, zacxbt, kapursanat",19
1151977130332434433,=nil; Foundation,Thu Jul 18 22:08:45 +0000 2019,"0xRaghav, OmniscientAsian, Darrenlautf, 0xminion, rishisthinking, andyisnotandy, Shaughnessy119, firstc0in, j0hnwang, lapgandhi, 0xMaki, 0xdetweiler, ceterispar1bus, alexgedevani, mattyryze, roybitsir, GrantStenger, kapursanat, 0xbilly",19
513341499,A₿del ∞/21M,Sat Mar 03 16:28:50 +0000 2012,"0xRaghav, KyleSamani, Darrenlautf, 0xminion, andyisnotandy, BigBrainKasey, Louissongyz, tkstanczak, geenty, j0hnwang, _weidai, sjdedic, lapgandhi, 0xMaki, gakonst, alexgedevani, mattyryze, zacxbt, GrantStenger",19
1270993847036805121,Ishan B,Thu Jun 11 08:18:52 +0000 2020,"0xRaghav, OmniscientAsian, 0xminion, kidponga, andyisnotandy, Shaughnessy119, amanda0x, geenty, lmrankhan, j0hnwang, CryptoSources, lapgandhi, 0xMaki, 0xdetweiler, mattyryze, AustinBarack, TaikiMaeda2, delitzer, 0xbilly",19
1089885302750150656,lukasschor.eth,Mon Jan 28 13:58:00 +0000 2019,"0xRaghav, 0xminion, ishanee_, rishisthinking, pet3rpan_, SimaoCCruz, Shaughnessy119, tkstanczak, j0hnwang, _weidai, ncerovac, sjdedic, lapgandhi, 0xMaki, ceterispar1bus, MariaShen, mattyryze, tomhschmidt, 0xbilly",19
1004162476273893377,Figment,Wed Jun 06 00:46:05 +0000 2018,"0xRaghav, grisacerne, OmniscientAsian, Darrenlautf, 0xminion, janehk, 0xRainandCoffee, wkhosrowshahi1, andyisnotandy, BigBrainKasey, geenty, Sh_ivam, 0xMaki, Solofunk30, MariaShen, mattyryze, AustinBarack, roybitsir, kapursanat",19
14985734,billy,Mon Jun 02 21:58:45 +0000 2008,"0xRaghav, KyleSamani, 0xRainandCoffee, Mikey0x_, pet3rpan_, SimaoCCruz, eclecticcapital, j0hnwang, _weidai, ncerovac, 0xMaki, yekiM_o, ceterispar1bus, samoyedali, gakonst, alexgedevani, mattyryze, roybitsir, tomhschmidt",19
